Timestamp,age,Gender,Purchase_Frequency,Purchase_Categories,Personalized_Recommendation_Frequency,Browsing_Frequency,Product_Search_Method,Search_Result_Exploration,Customer_Reviews_Importance,Add_to_Cart_Browsing,Cart_Completion_Frequency,Cart_Abandonment_Factors,Saveforlater_Frequency,Review_Left,Review_Reliability,Review_Helpfulness,Personalized_Recommendation_Frequency ,Recommendation_Helpfulness,Rating_Accuracy ,Shopping_Satisfaction,Service_Appreciation,Improvement_Areas
,26,Female,Less than once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Rarely,Filter,Multiple pages,1,maybe,Sometimes,High shipping costs,Sometimes,yes,Heavily,yes,4,yes,2,2,Product recommendations,Shipping speed and reliability
,23,Female,Few times a month,"['Clothing and Fashion', 'others']",yes,Few times a week,Keyword,First page,1,yes,Sometimes,Found a better price elsewhere,Sometimes,yes,Moderately,yes,1,sometimes,3,2,Wide product selection,Product quality and accuracy
,23,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a month,Keyword,Multiple pages,4,yes,Sometimes,High shipping costs,Sometimes,yes,Heavily,yes,3,no,3,3,Product recommendations,Reducing packaging waste
,40,Male,Few times a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a week,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Never,yes,Heavily,yes,4,sometimes,2,1,Competitive prices,Reducing packaging waste
,25,Female,Once a month,['Beauty and Personal Care'],sometimes,Few times a month,categories,Multiple pages,5,maybe,Sometimes,Found a better price elsewhere,Often,no,Moderately,sometimes,3,sometimes,3,3,Wide product selection,Customer service responsiveness
,24,Male,Once a month,['others'],sometimes,Few times a week,Keyword,Multiple pages,4,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Moderately,sometimes,4,sometimes,1,2,Wide product selection,Shipping speed and reliability
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,Keyword,First page,4,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Rarely,sometimes,3,sometimes,3,3,User-friendly website/app interface,Product quality and accuracy
,24,Male,Less than once a month,['others'],sometimes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Never,yes,Heavily,yes,2,yes,3,2,User-friendly website/app interface,Shipping speed and reliability
,24,Male,Less than once a month,['others'],no,Few times a week,categories,Multiple pages,1,maybe,Never,Changed my mind or no longer need the item,Rarely,no,Heavily,yes,3,sometimes,3,3,Wide product selection,Product quality and accuracy
,24,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",sometimes,Few times a month,categories,First page,3,maybe,Sometimes,Changed my mind or no longer need the item,Sometimes,no,Occasionally,sometimes,3,yes,3,3,Product recommendations,Customer service responsiveness
,26,Male,Few times a month,['others'],no,Few times a week,Keyword,Multiple pages,4,yes,Often,Changed my mind or no longer need the item,Rarely,yes,Occasionally,yes,3,yes,3,4,Competitive prices,Product quality and accuracy
,23,Female,Few times a month,"['Beauty and Personal Care', 'Home and Kitchen', 'others']",sometimes,Few times a month,categories,First page,1,yes,Sometimes,Found a better price elsewhere,Often,no,Heavily,yes,2,sometimes,3,3,Wide product selection,Product quality and accuracy
,23,Female,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,categories,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Never,no,Heavily,yes,3,sometimes,3,1,Wide product selection,Product quality and accuracy
,24,Female,Once a month,['others'],sometimes,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,yes,Occasionally,yes,3,yes,3,2,User-friendly website/app interface,Product quality and accuracy
,23,Male,Less than once a month,['others'],no,Few times a month,Keyword,First page,1,maybe,Rarely,High shipping costs,Never,no,Moderately,sometimes,3,sometimes,3,3,Wide product selection,better app interface and lower shipping charges
,24,Female,Less than once a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a month,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Often,yes,Moderately,yes,1,yes,2,2,Competitive prices,Product quality and accuracy
,36,Female,Once a month,"['Home and Kitchen', 'others']",sometimes,Multiple times a day,Keyword,Multiple pages,5,yes,Often,Changed my mind or no longer need the item,Never,yes,Heavily,no,2,sometimes,3,1,User-friendly website/app interface,Shipping speed and reliability
,26,Male,Less than once a month,['Home and Kitchen'],no,Rarely,Filter,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Sometimes,yes,Moderately,yes,1,yes,2,1,Wide product selection,Product quality and accuracy
,31,Male,Once a month,"['Home and Kitchen', 'others']",no,Few times a month,Keyword,First page,1,yes,Sometimes,Changed my mind or no longer need the item,Often,no,Heavily,yes,4,sometimes,3,1,Customer service,Reducing packaging waste
,23,Male,Less than once a month,['others'],no,Rarely,categories,Multiple pages,1,maybe,Often,Found a better price elsewhere,Never,no,Heavily,yes,2,no,3,2,User-friendly website/app interface,Reducing packaging waste
,23,Female,Less than once a month,['Home and Kitchen'],yes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Rarely,no,Heavily,yes,3,yes,2,2,Wide product selection,Product quality and accuracy
,30,Male,Once a week,"['Groceries and Gourmet Food', 'Home and Kitchen']",yes,Few times a week,Filter,Multiple pages,4,yes,Often,Found a better price elsewhere,Always,yes,Moderately,yes,4,yes,4,4,Product recommendations,Customer service responsiveness
,24,Female,Less than once a month,['others'],no,Rarely,categories,Multiple pages,2,yes,Sometimes,Found a better price elsewhere,Often,no,Moderately,yes,2,sometimes,2,2,Wide product selection,Product quality and accuracy
,47,Prefer not to say,Less than once a month,['others'],sometimes,Rarely,others,First page,2,maybe,Never,Changed my mind or no longer need the item,Never,no,Never,sometimes,2,no,2,2,User-friendly website/app interface,Shipping speed and reliability
,54,Others,Multiple times a week,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",yes,Multiple times a day,categories,Multiple pages,4,yes,Always,others,Always,yes,Heavily,yes,5,yes,5,5,Competitive prices,Shipping speed and reliability
,58,Male,Once a month,"['Clothing and Fashion', 'others']",no,Few times a week,Keyword,Multiple pages,5,yes,Sometimes,Changed my mind or no longer need the item,Never,no,Never,no,4,no,3,3,Competitive prices,Reducing packaging waste
,53,Female,Less than once a month,['Home and Kitchen'],no,Few times a week,Keyword,Multiple pages,3,no,Rarely,Changed my mind or no longer need the item,Never,no,Moderately,yes,2,yes,2,1,Competitive prices,Reducing packaging waste
,23,Prefer not to say,Once a week,['Beauty and Personal Care'],no,Multiple times a day,categories,Multiple pages,5,maybe,Sometimes,Found a better price elsewhere,Sometimes,yes,Occasionally,sometimes,3,sometimes,3,3,Product recommendations,Reducing packaging waste
,25,Others,Few times a month,"['Groceries and Gourmet Food', 'Clothing and Fashion']",yes,Few times a week,Filter,Multiple pages,5,maybe,Never,Changed my mind or no longer need the item,Sometimes,yes,Occasionally,sometimes,4,sometimes,3,3,Product recommendations,Customer service responsiveness
,23,Female,Less than once a month,['Beauty and Personal Care'],no,Rarely,categories,Multiple pages,1,maybe,Rarely,Found a better price elsewhere,Rarely,no,Occasionally,yes,2,sometimes,3,2,User-friendly website/app interface,Shipping speed and reliability
,32,Male,Less than once a month,"['Clothing and Fashion', 'Home and Kitchen']",sometimes,Few times a week,categories,First page,4,maybe,Rarely,Changed my mind or no longer need the item,Rarely,no,Moderately,sometimes,4,sometimes,4,4,User-friendly website/app interface,Customer service responsiveness
,30,Prefer not to say,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",yes,Few times a week,Filter,Multiple pages,5,yes,Often,others,Always,yes,Heavily,yes,5,sometimes,5,3,Competitive prices,Product quality and accuracy
,28,Others,Few times a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen', 'others']",no,Few times a month,Keyword,Multiple pages,3,no,Never,High shipping costs,Never,yes,Occasionally,no,4,no,4,3,Competitive prices,Shipping speed and reliability
,20,Female,Multiple times a week,"['Beauty and Personal Care', 'Clothing and Fashion']",no,Multiple times a day,categories,First page,1,no,Often,Found a better price elsewhere,Often,no,Occasionally,sometimes,3,no,3,3,Competitive prices,Reducing packaging waste
,25,Male,Few times a month,['others'],no,Rarely,others,Multiple pages,1,maybe,Sometimes,Changed my mind or no longer need the item,Never,no,Moderately,sometimes,2,sometimes,2,3,Wide product selection,Product quality and accuracy
,55,Others,Few times a month,['Groceries and Gourmet Food'],yes,Multiple times a day,Keyword,Multiple pages,3,yes,Sometimes,High shipping costs,Often,yes,Rarely,yes,4,yes,3,3,Product recommendations,Customer service responsiveness
,24,Female,Once a month,"['Beauty and Personal Care', 'Home and Kitchen', 'others']",no,Few times a week,Keyword,Multiple pages,2,yes,Rarely,High shipping costs,Always,yes,Moderately,yes,4,sometimes,3,4,Wide product selection,Product quality and accuracy
,62,Female,Less than once a month,['Beauty and Personal Care'],sometimes,Rarely,Filter,Multiple pages,3,maybe,Sometimes,Found a better price elsewhere,Often,no,Never,sometimes,5,yes,4,3,User-friendly website/app interface,Shipping speed and reliability
,27,Male,Less than once a month,['others'],no,Rarely,others,First page,4,no,Never,others,Never,no,Never,no,5,no,5,5,Competitive prices,Customer service responsiveness
,34,Prefer not to say,Few times a month,"['Beauty and Personal Care', 'Clothing and Fashion']",sometimes,Few times a month,categories,First page,3,maybe,Sometimes,Found a better price elsewhere,Rarely,no,Occasionally,no,4,yes,2,2,Wide product selection,Product quality and accuracy
,40,Female,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",sometimes,Few times a week,categories,Multiple pages,2,maybe,Often,Found a better price elsewhere,Often,yes,Occasionally,sometimes,2,no,2,2,Competitive prices,Shipping speed and reliability
,22,Others,Less than once a month,['others'],yes,Few times a month,categories,Multiple pages,4,maybe,Often,Found a better price elsewhere,Rarely,yes,Rarely,no,3,no,3,4,User-friendly website/app interface,Reducing packaging waste
,34,Prefer not to say,Few times a month,"['Clothing and Fashion', 'Home and Kitchen']",no,Few times a month,categories,First page,3,yes,Often,Found a better price elsewhere,Often,yes,Heavily,yes,1,sometimes,2,2,User-friendly website/app interface,Product quality and accuracy
,24,Female,Less than once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Few times a week,Keyword,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Never,no,Heavily,yes,1,sometimes,3,1,User-friendly website/app interface,Product quality and accuracy
,44,Male,Few times a month,"['Clothing and Fashion', 'others']",no,Few times a month,categories,First page,5,no,Rarely,Changed my mind or no longer need the item,Sometimes,no,Never,sometimes,2,yes,3,2,Product recommendations,Customer service responsiveness
,31,Female,Once a month,"['Home and Kitchen', 'others']",sometimes,Rarely,others,Multiple pages,4,no,Never,Changed my mind or no longer need the item,Often,yes,Never,sometimes,5,no,4,2,User-friendly website/app interface,Reducing packaging waste
,23,Female,Once a week,['Clothing and Fashion'],sometimes,Few times a week,categories,Multiple pages,5,no,Rarely,others,Sometimes,no,Occasionally,sometimes,3,yes,3,3,Product recommendations,Product quality and accuracy
,23,Female,Less than once a month,"['Beauty and Personal Care', 'others']",sometimes,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,Changed my mind or no longer need the item,Rarely,no,Heavily,yes,2,yes,2,1,Wide product selection,Reducing packaging waste
,22,Female,Less than once a month,"['Clothing and Fashion', 'Home and Kitchen']",no,Few times a week,Keyword,Multiple pages,5,yes,Sometimes,Found a better price elsewhere,Never,no,Heavily,yes,5,sometimes,2,3,Competitive prices,Customer service responsiveness
,24,Female,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",sometimes,Few times a week,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Always,yes,Heavily,yes,1,yes,1,1,Wide product selection,Customer service responsiveness
,23,Prefer not to say,Once a week,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Multiple times a day,Keyword,Multiple pages,1,yes,Often,Found a better price elsewhere,Always,yes,Heavily,yes,1,yes,1,1,Wide product selection,Customer service responsiveness
,25,Male,Less than once a month,['others'],yes,Few times a month,Keyword,Multiple pages,5,yes,Rarely,others,Never,no,Moderately,yes,3,sometimes,3,3,Wide product selection,Customer service responsiveness
,23,Male,Once a week,['Clothing and Fashion'],sometimes,Few times a week,Filter,Multiple pages,1,no,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Moderately,no,1,no,2,2,Competitive prices,Customer service responsiveness
,24,Male,Once a month,"['Groceries and Gourmet Food', 'Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",sometimes,Few times a week,Keyword,Multiple pages,1,yes,Often,others,Sometimes,yes,Moderately,yes,2,yes,2,2,Competitive prices,Product quality and accuracy
,24,Female,Few times a month,['others'],yes,Few times a week,Keyword,Multiple pages,1,yes,Often,Changed my mind or no longer need the item,Sometimes,no,Moderately,yes,2,yes,3,2,Wide product selection,Customer service responsiveness
,26,Female,Less than once a month,['others'],no,Few times a month,Keyword,Multiple pages,1,yes,Sometimes,High shipping costs,Often,yes,Moderately,yes,1,yes,2,1,Product recommendations,Shipping speed and reliability
,25,Female,Less than once a month,['Clothing and Fashion'],sometimes,Rarely,categories,First page,5,yes,Sometimes,Changed my mind or no longer need the item,Sometimes,yes,Moderately,yes,4,sometimes,4,3,Wide product selection,Shipping speed and reliability
,26,Male,Few times a month,"['Clothing and Fashion', 'others']",no,Few times a week,Keyword,Multiple pages,4,yes,Sometimes,Found a better price elsewhere,Never,no,Occasionally,sometimes,3,no,3,3,Product recommendations,Reducing packaging waste
,29,Male,Less than once a month,['others'],no,Rarely,Keyword,First page,4,no,Sometimes,Found a better price elsewhere,Rarely,no,Moderately,yes,3,sometimes,4,4,Wide product selection,Product quality and accuracy
,23,Female,Once a month,"['Beauty and Personal Care', 'Clothing and Fashion', 'Home and Kitchen']",yes,Few times a month,Keyword,Multiple pages,2,yes,Often,High shipping costs,Often,yes,Moderately,yes,2,yes,3,4,Competitive prices,Reducing packaging waste
,30,Male,Multiple times a week,"['Clothing and Fashion', 'Home and Kitchen']",yes,Few times a week,Keyword,Multiple pages,3,yes,Sometimes,Found a better price elsewhere,Sometimes,yes,Moderately,yes,1,yes,1,2,Competitive prices,Customer service responsiveness
,23,Female,Less than once a month,"['Beauty and Personal Care', 'Home and Kitchen']",no,Multiple times a day,categories,Multiple pages,1,yes,Sometimes,Found a better price elsewhere,Often,no,Heavily,yes,3,sometimes,3,3,Wide product selection,Customer service responsiveness
,21,Female,Less than once a month,['Clothing and Fashion'],no,Rarely,Keyword,Multiple pages,1,yes,Never,High shipping costs,Never,no,Heavily,yes,4,sometimes,3,3,Wide product selection,Reducing packaging waste
